level,vertebral_number,approach,category,object,side,x,y,length,width,angle,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_enplate_inferior_body_y,inferior_endplate_superior_body_y
T5,12,posterior,implant,pedicle_hook,left,0.475,0.653,,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,pedicle_hook,left,0.475,0.623,,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,pedicle_hook,left,0.475,0.591,,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,pedicle_hook,left,0.475,0.561,,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,pedicle_hook,left,0.475,0.529,,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,pedicle_hook,left,0.475,0.492,,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,pedicle_hook,left,0.475,0.453,,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,pedicle_hook,left,0.475,0.423,,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
T1,8,posterior,implant,pedicle_hook,right,0.525,0.754,,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,pedicle_hook,right,0.525,0.73,,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,pedicle_hook,right,0.525,0.709,,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,pedicle_hook,right,0.525,0.679,,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,pedicle_hook,right,0.525,0.653,,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,pedicle_hook,right,0.525,0.623,,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,pedicle_hook,right,0.525,0.591,,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,pedicle_hook,right,0.525,0.561,,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,pedicle_hook,right,0.525,0.529,,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,pedicle_hook,right,0.525,0.492,,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,pedicle_hook,right,0.525,0.453,,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,pedicle_hook,right,0.525,0.423,,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
C2,2,posterior,implant,pedicle_screw,left,0.475,0.866,0.8,0.75,20,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,pedicle_screw,left,0.475,0.848,0.8,0.75,10,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,pedicle_screw,left,0.475,0.831,0.8,0.75,5,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,pedicle_screw,left,0.475,0.813,0.8,0.75,0,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,pedicle_screw,left,0.475,0.795,0.8,0.75,-5,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,pedicle_screw,left,0.475,0.78,0.8,0.75,-10,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,pedicle_screw,left,0.475,0.754,0.8,0.75,-14,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,pedicle_screw,left,0.475,0.73,0.8,0.75,-15,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,pedicle_screw,left,0.475,0.709,0.8,0.75,-14,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,pedicle_screw,left,0.475,0.679,0.8,0.75,-12,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,pedicle_screw,left,0.475,0.653,0.8,1,-10,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,pedicle_screw,left,0.475,0.623,0.8,1,-8,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,pedicle_screw,left,0.475,0.591,0.8,1,-6,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,pedicle_screw,left,0.475,0.561,0.8,1,-4,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,pedicle_screw,left,0.475,0.529,0.7,1,-2,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,pedicle_screw,left,0.475,0.492,0.6,1,0,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,pedicle_screw,left,0.475,0.453,0.5,1,5,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,pedicle_screw,left,0.475,0.423,0.6,1,10,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,pedicle_screw,left,0.4725,0.384,0.7,1,10,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,pedicle_screw,left,0.47,0.352,0.8,1.25,5,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,pedicle_screw,left,0.4675,0.311,0.9,1.25,0,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,pedicle_screw,left,0.465,0.272,1,1.25,-10,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,pedicle_screw,left,0.4625,0.235,1.2,1.5,-20,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
S1,25,posterior,implant,pedicle_screw,left,0.46,0.204,1.5,1.5,-30,,,,,0.475,0.44,0.46,0.228,0.197,0.17,0.19,0.2,0.197,0.19,,,,,,,,
C2,2,posterior,implant,pedicle_screw,right,0.525,0.866,0.8,0.75,20,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,pedicle_screw,right,0.525,0.848,0.8,0.75,10,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,pedicle_screw,right,0.525,0.831,0.8,0.75,5,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,pedicle_screw,right,0.525,0.813,0.8,0.75,0,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,pedicle_screw,right,0.525,0.795,0.8,0.75,-5,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,pedicle_screw,right,0.525,0.78,0.8,0.75,-10,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,pedicle_screw,right,0.525,0.754,0.8,0.75,-14,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,pedicle_screw,right,0.525,0.73,0.8,0.75,-15,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,pedicle_screw,right,0.525,0.709,0.8,0.75,-14,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,pedicle_screw,right,0.525,0.679,0.8,0.75,-12,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,pedicle_screw,right,0.525,0.653,0.8,1,-10,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,pedicle_screw,right,0.525,0.623,0.8,1,-8,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,pedicle_screw,right,0.525,0.591,0.8,1,-6,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,pedicle_screw,right,0.525,0.561,0.8,1,-4,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,pedicle_screw,right,0.525,0.529,0.7,1,-2,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,pedicle_screw,right,0.525,0.492,0.6,1,0,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,pedicle_screw,right,0.525,0.453,0.5,1,5,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,pedicle_screw,right,0.525,0.423,0.6,1,10,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,pedicle_screw,right,0.5275,0.384,0.7,1,10,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,pedicle_screw,right,0.53,0.352,0.8,1.25,5,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,pedicle_screw,right,0.5325,0.311,0.9,1.25,0,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,pedicle_screw,right,0.535,0.272,1,1.25,-10,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,pedicle_screw,right,0.5375,0.235,1.2,1.5,-20,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
S1,25,posterior,implant,pedicle_screw,right,0.54,0.204,1.5,1.5,-30,,,,,0.475,0.44,0.46,0.228,0.197,0.17,0.19,0.2,0.197,0.19,,,,,,,,
Iliac,26,posterior,implant,pelvic_screw,left,0.447,0.18,3,1.5,-150,,,,,,,,,,,,0.18,,,,,,,,,,
Iliac,26,posterior,implant,pelvic_screw,left,0.441,0.199,3,1.5,-150,,,,,,,,,,,,0.18,,,,,,,,,,
S2AI,27,posterior,implant,pelvic_screw,left,0.466,0.166,3,1.5,-155,,,,,,,,,,,,0.16,,,,,,,,,,
S2AI,27,posterior,implant,pelvic_screw,left,0.467,0.158,3,1.5,-155,,,,,,,,,,,,0.16,,,,,,,,,,
Iliac,26,posterior,implant,pelvic_screw,right,0.553,0.18,3,1.5,-150,,,,,,,,,,,,0.18,,,,,,,,,,
Iliac,26,posterior,implant,pelvic_screw,right,0.559,0.199,3,1.5,-150,,,,,,,,,,,,0.18,,,,,,,,,,
S2AI,27,posterior,implant,pelvic_screw,right,0.534,0.166,3,1.5,-155,,,,,,,,,,,,0.16,,,,,,,,,,
S2AI,27,posterior,implant,pelvic_screw,right,0.533,0.158,3,1.5,-155,,,,,,,,,,,,0.16,,,,,,,,,,
C1,1,posterior,implant,sublaminar_wire,left,0.485,0.889,0.01,,,,,,,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,implant,sublaminar_wire,left,0.485,0.873,0.012,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,sublaminar_wire,left,0.485,0.853,0.011,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,sublaminar_wire,left,0.485,0.835,0.013,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,sublaminar_wire,left,0.485,0.816,0.012,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,sublaminar_wire,left,0.485,0.797,0.011,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,sublaminar_wire,left,0.485,0.779,0.016,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,sublaminar_wire,left,0.485,0.756,0.019,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,sublaminar_wire,left,0.485,0.732,0.019,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,sublaminar_wire,left,0.485,0.71,0.023,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,sublaminar_wire,left,0.485,0.682,0.024,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,sublaminar_wire,left,0.485,0.657,0.028,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,sublaminar_wire,left,0.485,0.624,0.029,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,sublaminar_wire,left,0.485,0.591,0.025,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,sublaminar_wire,left,0.485,0.561,0.031,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,sublaminar_wire,left,0.485,0.528,0.03,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,sublaminar_wire,left,0.485,0.496,0.031,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,sublaminar_wire,left,0.485,0.463,0.038,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,sublaminar_wire,left,0.485,0.425,0.039,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,sublaminar_wire,left,0.485,0.383,0.031,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,sublaminar_wire,left,0.485,0.349,0.032,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,sublaminar_wire,left,0.485,0.315,0.031,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,sublaminar_wire,left,0.485,0.274,0.027,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,sublaminar_wire,left,0.485,0.238,0.024,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,implant,sublaminar_wire,right,0.515,0.889,0.01,,,,,,,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,implant,sublaminar_wire,right,0.515,0.873,0.012,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,sublaminar_wire,right,0.515,0.853,0.011,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,sublaminar_wire,right,0.515,0.835,0.013,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,sublaminar_wire,right,0.515,0.816,0.012,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,sublaminar_wire,right,0.515,0.797,0.011,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,sublaminar_wire,right,0.515,0.779,0.016,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,sublaminar_wire,right,0.515,0.756,0.019,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,sublaminar_wire,right,0.515,0.732,0.019,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,sublaminar_wire,right,0.515,0.71,0.023,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,sublaminar_wire,right,0.515,0.682,0.024,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,sublaminar_wire,right,0.515,0.657,0.028,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,sublaminar_wire,right,0.515,0.624,0.029,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,sublaminar_wire,right,0.515,0.591,0.025,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,sublaminar_wire,right,0.515,0.561,0.031,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,sublaminar_wire,right,0.515,0.528,0.03,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,sublaminar_wire,right,0.515,0.496,0.031,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,sublaminar_wire,right,0.515,0.463,0.038,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,sublaminar_wire,right,0.515,0.425,0.039,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,sublaminar_wire,right,0.515,0.383,0.031,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,sublaminar_wire,right,0.515,0.349,0.032,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,sublaminar_wire,right,0.515,0.315,0.031,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,sublaminar_wire,right,0.515,0.274,0.027,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,sublaminar_wire,right,0.515,0.238,0.024,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,implant,tether,central,0.5,0.885,0.017,,,,,,,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,implant,tether,central,0.5,0.868,0.021,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,tether,central,0.5,0.847,0.02,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,tether,central,0.5,0.827,0.018,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,tether,central,0.5,0.809,0.017,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,tether,central,0.5,0.792,0.018,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,tether,central,0.5,0.774,0.026,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,tether,central,0.5,0.748,0.027,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,tether,central,0.5,0.721,0.031,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,tether,central,0.5,0.69,0.027,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,tether,central,0.5,0.663,0.036,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,tether,central,0.5,0.627,0.034,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,tether,central,0.5,0.593,0.033,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,tether,central,0.5,0.56,0.035,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,tether,central,0.5,0.525,0.027,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,tether,central,0.5,0.498,0.033,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,tether,central,0.5,0.465,0.035,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,tether,central,0.5,0.43,0.035,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,tether,central,0.5,0.395,0.033,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,tether,central,0.5,0.362,0.037,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,tether,central,0.5,0.325,0.037,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,tether,central,0.5,0.288,0.032,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,tether,central,0.5,0.256,0.036,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,tether,central,0.5,0.22,0.035,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
T1,8,posterior,implant,tp_hook,left,0.476,0.762,,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,tp_hook,left,0.476,0.74,,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,tp_hook,left,0.476,0.716,,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,tp_hook,left,0.476,0.688,,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,tp_hook,left,0.476,0.66,,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,tp_hook,left,0.476,0.63,,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,tp_hook,left,0.476,0.596,,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,tp_hook,left,0.476,0.566,,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,tp_hook,left,0.476,0.532,,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,tp_hook,left,0.476,0.496,,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,tp_hook,left,0.476,0.46,,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
